Protocol,Path,PR24_Completeness,PR22_Completeness,PR23_Completeness,Completeness_Severity,Final_Completeness,PR24_Clarity,PR22_Clarity,PR23_Clarity,Clarity_Severity,Final_Clarity,PR24_Actionability,PR22_Actionability,PR23_Actionability,Actionability_Severity,Final_Actionability,PR24_Integration,PR22_Integration,PR23_Integration,Integration_Severity,Final_Integration,PR24_Evidence,PR22_Evidence,PR23_Evidence,Evidence_Severity,Final_Evidence,PR24_Automation,PR22_Automation,PR23_Automation,Automation_Severity,Final_Automation,PR24_Overall,PR22_Overall,PR23_Overall,Overall_Severity,Consensus,Weighted_Average,Evidence_Factor,Consensus_Bonus,Penalty,Final_Overall,Confidence,Notes
01-client-proposal-generation,.cursor/ai-driven-workflow/01-client-proposal-generation.md,10.0,9.6,10.0,Aligned,10.0,9.0,9.5,10.0,P2,9.77,9.0,9.4,10.0,P2,9.73,9.0,9.5,10.0,P2,9.77,9.0,9.5,10.0,P2,9.77,9.0,9.2,10.0,P2,9.65,9.17,9.5,10.0,P2,No,9.59,1.0232,0.0,0.0,9.82,High,Moderate variance; synchronize templates and metrics.
12-quality-audit,.cursor/ai-driven-workflow/12-quality-audit.md,9.0,9.5,10.0,P2,9.77,9.0,9.4,10.0,P2,9.73,9.0,9.3,10.0,P2,9.69,7.0,9.4,10.0,P0,8.22,9.0,9.4,10.0,P2,9.73,9.0,9.2,10.0,P2,9.65,8.67,9.4,10.0,P0,No,9.43,1.0232,0.0,0.0,9.65,Low,Critical disagreement on scoring; rebuild protocol before reuse.
13-uat-coordination,.cursor/ai-driven-workflow/13-uat-coordination.md,9.0,9.3,10.0,P2,9.69,9.0,9.2,10.0,P2,9.65,9.0,9.1,10.0,P2,9.61,6.0,9.2,10.0,P0,7.88,9.0,9.1,10.0,P2,9.61,9.0,8.9,10.0,P2,9.53,8.5,9.1,10.0,P0,No,9.27,1.0232,0.0,0.0,9.48,Low,Critical disagreement on scoring; rebuild protocol before reuse.
14-pre-deployment-staging,.cursor/ai-driven-workflow/14-pre-deployment-staging.md,9.0,9.3,10.0,P2,9.69,9.0,9.1,10.0,P2,9.61,9.0,9.0,10.0,P2,9.57,9.0,9.1,10.0,P2,9.61,9.0,9.1,10.0,P2,9.61,9.0,8.8,10.0,P2,9.49,9.0,9.1,10.0,P2,No,9.39,1.0232,0.0,0.0,9.61,High,Moderate variance; synchronize templates and metrics.
15-production-deployment,.cursor/ai-driven-workflow/15-production-deployment.md,9.0,9.4,10.0,P2,9.73,9.0,9.2,10.0,P2,9.65,9.0,9.1,10.0,P2,9.61,9.0,9.2,10.0,P2,9.65,9.0,9.2,10.0,P2,9.65,9.0,9.0,10.0,P2,9.57,9.0,9.2,10.0,P2,No,9.43,1.0232,0.0,0.0,9.65,High,Moderate variance; synchronize templates and metrics.
16-monitoring-observability,.cursor/ai-driven-workflow/16-monitoring-observability.md,9.0,9.3,10.0,P2,9.69,9.0,9.1,10.0,P2,9.61,9.0,9.0,10.0,P2,9.57,9.0,9.1,10.0,P2,9.61,9.0,9.1,10.0,P2,9.61,9.0,8.9,10.0,P2,9.53,9.0,9.1,10.0,P2,No,9.39,1.0232,0.0,0.0,9.61,High,Moderate variance; synchronize templates and metrics.
17-incident-response-rollback,.cursor/ai-driven-workflow/17-incident-response-rollback.md,9.0,9.2,10.0,P2,9.65,9.0,9.0,10.0,P2,9.57,9.0,8.9,10.0,P2,9.53,9.0,9.0,10.0,P2,9.57,9.0,9.0,10.0,P2,9.57,9.0,8.7,10.0,P2,9.44,9.0,9.0,10.0,P2,No,9.35,1.0232,0.0,0.0,9.57,High,Moderate variance; synchronize templates and metrics.
18-performance-optimization,.cursor/ai-driven-workflow/18-performance-optimization.md,9.0,9.2,10.0,P2,9.65,9.0,9.0,10.0,P2,9.57,9.0,8.9,10.0,P2,9.53,9.0,9.0,10.0,P2,9.57,9.0,9.0,10.0,P2,9.57,9.0,8.7,10.0,P2,9.44,9.0,9.0,10.0,P2,No,9.35,1.0232,0.0,0.0,9.57,High,Moderate variance; synchronize templates and metrics.
19-documentation-knowledge-transfer,.cursor/ai-driven-workflow/19-documentation-knowledge-transfer.md,9.0,9.3,10.0,P2,9.69,9.0,9.1,10.0,P2,9.61,9.0,9.0,10.0,P2,9.57,9.0,9.1,10.0,P2,9.61,9.0,9.1,10.0,P2,9.61,9.0,8.9,10.0,P2,9.53,9.0,9.1,10.0,P2,No,9.39,1.0232,0.0,0.0,9.61,High,Moderate variance; synchronize templates and metrics.
20-project-closure,.cursor/ai-driven-workflow/20-project-closure.md,9.0,9.2,10.0,P2,9.65,9.0,9.0,10.0,P2,9.57,9.0,8.9,10.0,P2,9.53,9.0,9.0,10.0,P2,9.57,9.0,9.0,10.0,P2,9.57,9.0,8.7,10.0,P2,9.44,9.0,9.0,10.0,P2,No,9.35,1.0232,0.0,0.0,9.57,High,Moderate variance; synchronize templates and metrics.
21-maintenance-support,.cursor/ai-driven-workflow/21-maintenance-support.md,9.0,9.2,10.0,P2,9.65,9.0,9.0,10.0,P2,9.57,9.0,8.9,10.0,P2,9.53,9.0,9.0,10.0,P2,9.57,9.0,9.0,10.0,P2,9.57,9.0,8.7,10.0,P2,9.44,9.0,9.0,10.0,P2,No,9.35,1.0232,0.0,0.0,9.57,High,Moderate variance; synchronize templates and metrics.
22-implementation-retrospective,.cursor/ai-driven-workflow/22-implementation-retrospective.md,9.0,9.3,10.0,P2,9.69,9.0,9.1,10.0,P2,9.61,9.0,9.0,10.0,P2,9.57,9.0,9.1,10.0,P2,9.61,9.0,9.1,10.0,P2,9.61,9.0,8.9,10.0,P2,9.53,9.0,9.1,10.0,P2,No,9.39,1.0232,0.0,0.0,9.61,High,Moderate variance; synchronize templates and metrics.
23-script-governance-protocol,.cursor/ai-driven-workflow/23-script-governance-protocol.md,9.0,9.3,10.0,P2,9.69,9.0,9.1,10.0,P2,9.61,9.0,9.0,10.0,P2,9.57,9.0,9.1,10.0,P2,9.61,9.0,9.1,10.0,P2,9.61,9.0,8.9,10.0,P2,9.53,9.0,9.1,10.0,P2,No,9.39,1.0232,0.0,0.0,9.61,High,Moderate variance; synchronize templates and metrics.
24-client-discovery,.cursor/ai-driven-workflow/24-client-discovery.md,9.0,9.2,10.0,P2,9.65,9.0,9.1,10.0,P2,9.61,9.0,9.0,10.0,P2,9.57,9.0,9.1,10.0,P2,9.61,9.0,9.1,10.0,P2,9.61,9.0,8.9,10.0,P2,9.53,9.0,9.1,10.0,P2,No,9.39,1.0232,0.0,0.0,9.61,High,Moderate variance; synchronize templates and metrics.
25-protocol-integration-map,.cursor/ai-driven-workflow/25-protocol-integration-map.md,4.0,4.0,4.44,Aligned,4.75,6.0,6.0,0.0,P0,2.99,5.0,4.5,6.67,P1,5.01,4.0,4.0,3.33,Aligned,3.85,4.0,3.5,10.0,P0,5.04,4.0,2.5,10.0,P0,4.63,4.5,4.1,5.74,P0,No,4.77,1.0232,0.0,0.0,4.88,Low,Critical disagreement on scoring; rebuild protocol before reuse.
26-integration-guide,.cursor/ai-driven-workflow/26-integration-guide.md,5.0,3.5,6.67,P0,4.1,7.0,6.5,6.67,Aligned,7.34,6.0,4.5,10.0,P0,5.96,5.0,4.0,3.33,P2,4.11,5.0,3.0,10.0,P0,5.09,5.0,2.5,10.0,P0,4.88,5.5,4.0,7.78,P0,No,5.7,1.0232,0.0,1.0,4.83,Low,Critical disagreement on scoring; rebuild protocol before reuse.
27-validation-guide,.cursor/ai-driven-workflow/27-validation-guide.md,5.0,3.0,5.56,P1,4.0,7.0,6.0,3.33,P0,4.44,6.0,4.0,10.0,P0,5.75,5.0,3.5,3.33,P2,3.9,5.0,3.0,10.0,P0,5.09,5.0,2.5,10.0,P0,4.88,5.5,3.7,7.04,P0,No,5.32,1.0232,0.0,1.0,4.44,Low,Critical disagreement on scoring; rebuild protocol before reuse.
architecture-review,.cursor/ai-driven-workflow/review-protocols/architecture-review.md,9.0,9.4,10.0,P2,9.73,9.0,9.3,10.0,P2,9.69,9.0,9.2,10.0,P2,9.65,8.0,9.3,10.0,P1,8.93,9.0,9.3,10.0,P2,9.69,9.0,9.0,10.0,P2,9.57,8.83,9.2,10.0,P1,No,9.39,1.0232,0.0,0.0,9.61,Medium,High-variance scoring; align evidence and automation gates.
code-review,.cursor/ai-driven-workflow/review-protocols/code-review.md,9.0,9.4,10.0,P2,9.73,9.0,9.3,10.0,P2,9.69,9.0,9.2,10.0,P2,9.65,8.0,9.3,10.0,P1,8.93,9.0,9.3,10.0,P2,9.69,9.0,9.0,10.0,P2,9.57,8.83,9.2,10.0,P1,No,9.39,1.0232,0.0,0.0,9.61,Medium,High-variance scoring; align evidence and automation gates.
design-system,.cursor/ai-driven-workflow/review-protocols/design-system.md,9.0,3.5,2.22,P0,3.53,9.0,6.0,3.33,P0,4.95,9.0,4.0,0.0,P0,2.94,8.0,3.0,3.33,P0,3.47,9.0,2.5,0.0,P0,2.33,9.0,2.0,0.0,P0,2.12,8.83,3.5,1.48,P0,No,4.13,1.0232,0.0,1.0,3.22,Low,Critical disagreement on scoring; rebuild protocol before reuse.
pre-production,.cursor/ai-driven-workflow/review-protocols/pre-production.md,9.0,3.0,0.0,P0,2.53,9.0,6.0,0.0,P0,3.76,9.0,3.5,0.0,P0,2.73,8.0,3.0,0.0,P0,2.27,9.0,2.5,0.0,P0,2.33,9.0,2.0,0.0,P0,2.12,8.83,3.3,0.0,P0,No,3.53,1.0232,0.0,1.0,2.61,Low,Critical disagreement on scoring; rebuild protocol before reuse.
security-check,.cursor/ai-driven-workflow/review-protocols/security-check.md,9.0,9.4,10.0,P2,9.73,9.0,9.3,10.0,P2,9.69,9.0,9.2,10.0,P2,9.65,8.0,9.3,10.0,P1,8.93,9.0,9.3,10.0,P2,9.69,9.0,9.0,10.0,P2,9.57,8.83,9.2,10.0,P1,No,9.39,1.0232,0.0,0.0,9.61,Medium,High-variance scoring; align evidence and automation gates.
ui-accessibility,.cursor/ai-driven-workflow/review-protocols/ui-accessibility.md,9.0,3.5,2.22,P0,3.53,9.0,6.0,3.33,P0,4.95,9.0,4.0,0.0,P0,2.94,8.0,3.0,3.33,P0,3.47,9.0,2.5,0.0,P0,2.33,9.0,2.0,0.0,P0,2.12,8.83,3.5,1.48,P0,No,4.13,1.0232,0.0,1.0,3.22,Low,Critical disagreement on scoring; rebuild protocol before reuse.
