Index,Protocol,File,Completeness,Clarity,Actionability,Integration,Evidence,Automation,Overall,Priority,Missing Criteria
25,PROTOCOL INTEGRATION MAP,.cursor/ai-driven-workflow/25-protocol-integration-map.md,4.44,0.0,6.67,3.33,10.0,10.0,5.74,Critical,"role_mission, steps_algorithm, prerequisites, communication, handoff"
26,Dev-Workflow Script Integration Guide,.cursor/ai-driven-workflow/26-integration-guide.md,6.67,6.67,10.0,3.33,10.0,10.0,7.78,High,"role_mission, prerequisites, handoff"
27,Validation Guide,.cursor/ai-driven-workflow/27-validation-guide.md,5.56,3.33,10.0,3.33,10.0,10.0,7.04,High,"role_mission, prerequisites, communication, handoff"
28,PROTOCOL CR: CODE REVIEW (SOFTWARE QUALITY COMPLIANT),.cursor/ai-driven-workflow/review-protocols/code-review.md,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Pass,
29,PROTOCOL SR: SECURITY CHECK (SECURITY & COMPLIANCE COMPLIANT),.cursor/ai-driven-workflow/review-protocols/security-check.md,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Pass,
30,PROTOCOL AR: ARCHITECTURE REVIEW (SOFTWARE DESIGN COMPLIANT),.cursor/ai-driven-workflow/review-protocols/architecture-review.md,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Pass,
31,PROTOCOL: Generic Design System Review (DDD Compliant),.cursor/ai-driven-workflow/review-protocols/design-system.md,2.22,3.33,0.0,3.33,0.0,0.0,1.48,Critical,"role_mission, steps_algorithm, prerequisites, evidence, automation, quality, handoff"
32,PROTOCOL: Generic UI/UX Accessibility Review (DDD Compliant),.cursor/ai-driven-workflow/review-protocols/ui-accessibility.md,2.22,3.33,0.0,3.33,0.0,0.0,1.48,Critical,"role_mission, steps_algorithm, prerequisites, evidence, automation, quality, handoff"
33,PROTOCOL: Generic Deep Security Audit (Software Design Compliant),.cursor/ai-driven-workflow/review-protocols/pre-production.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Critical,"role_mission, steps_algorithm, prerequisites, evidence, automation, integration, quality, communication, handoff"

Metric,Value
Overall Alignment Score (%),81.82
Coverage Score (%),103.12
Average Completeness,8.82
Average Integration,8.69
Average Overall,8.89
Protocols ≥8 Overall,27
Protocols <8 Overall,6
