.artifacts/analysis-2025/01-SCAN-RESULTS.md → .cursor/ai-driven-workflow/ | reference | References .cursor/ai-driven-workflow/
.artifacts/meta-upgrades/UPG05/alignment.md → .cursor/ai-driven-workflow/12-quality-audit.md | reference | References .cursor/ai-driven-workflow/12-quality-audit.md
.artifacts/meta-upgrades/UPG05/alignment.md → .cursor/ai-driven-workflow/25-protocol-integration-map-DOCUMENTATION.md | reference | References .cursor/ai-driven-workflow/25-protocol-integration-map-DOCUMENTATION.md
.artifacts/meta-upgrades/UPG05/alignment.md → ai-driven-workflow/12-quality-audit.md | reference | References ai-driven-workflow/12-quality-audit.md
.artifacts/meta-upgrades/UPG05/alignment.md → ai-driven-workflow/25-protocol-integration-map-DOCUMENTATION.md | reference | References ai-driven-workflow/25-protocol-integration-map-DOCUMENTATION.md
.artifacts/meta-upgrades/UPG05/alignment.md → protocol-integration-map-DOCUMENTATION.md | reference | Mentions protocol protocol-integration-map-DOCUMENTATION.md
.artifacts/meta-upgrades/UPG06/alignment.md → .cursor/ai-driven-workflow/12-quality-audit.md | reference | References .cursor/ai-driven-workflow/12-quality-audit.md
.artifacts/meta-upgrades/UPG06/alignment.md → .cursor/ai-driven-workflow/16-monitoring-observability.md | reference | References .cursor/ai-driven-workflow/16-monitoring-observability.md
.artifacts/meta-upgrades/UPG06/alignment.md → ai-driven-workflow/12-quality-audit.md | reference | References ai-driven-workflow/12-quality-audit.md
.artifacts/meta-upgrades/UPG06/alignment.md → ai-driven-workflow/16-monitoring-observability.md | reference | References ai-driven-workflow/16-monitoring-observability.md
.artifacts/meta-upgrades/UPG07/alignment.md → .cursor/ai-driven-workflow/22-implementation-retrospective.md | reference | References .cursor/ai-driven-workflow/22-implementation-retrospective.md
.artifacts/meta-upgrades/UPG07/alignment.md → .cursor/ai-driven-workflow/23-script-governance-protocol.md | reference | References .cursor/ai-driven-workflow/23-script-governance-protocol.md
.artifacts/meta-upgrades/UPG07/alignment.md → ai-driven-workflow/22-implementation-retrospective.md | reference | References ai-driven-workflow/22-implementation-retrospective.md
.artifacts/meta-upgrades/UPG07/alignment.md → ai-driven-workflow/23-script-governance-protocol.md | reference | References ai-driven-workflow/23-script-governance-protocol.md
.artifacts/meta-upgrades/UPG08/alignment.md → .cursor/ai-driven-workflow/11-integration-testing.md | reference | References .cursor/ai-driven-workflow/11-integration-testing.md
.artifacts/meta-upgrades/UPG08/alignment.md → .cursor/ai-driven-workflow/14-pre-deployment-staging.md | reference | References .cursor/ai-driven-workflow/14-pre-deployment-staging.md
.artifacts/meta-upgrades/UPG08/alignment.md → ai-driven-workflow/11-integration-testing.md | reference | References ai-driven-workflow/11-integration-testing.md
.artifacts/meta-upgrades/UPG08/alignment.md → ai-driven-workflow/14-pre-deployment-staging.md | reference | References ai-driven-workflow/14-pre-deployment-staging.md
.artifacts/meta-upgrades/UPG09/alignment.md → .cursor/ai-driven-workflow/19-documentation-knowledge-transfer.md | reference | References .cursor/ai-driven-workflow/19-documentation-knowledge-transfer.md
.artifacts/meta-upgrades/UPG09/alignment.md → .cursor/ai-driven-workflow/22-implementation-retrospective.md | reference | References .cursor/ai-driven-workflow/22-implementation-retrospective.md
.artifacts/meta-upgrades/UPG09/alignment.md → ai-driven-workflow/19-documentation-knowledge-transfer.md | reference | References ai-driven-workflow/19-documentation-knowledge-transfer.md
.artifacts/meta-upgrades/UPG09/alignment.md → ai-driven-workflow/22-implementation-retrospective.md | reference | References ai-driven-workflow/22-implementation-retrospective.md
.artifacts/meta-upgrades/UPG10/alignment.md → .cursor/ai-driven-workflow/12-quality-audit.md | reference | References .cursor/ai-driven-workflow/12-quality-audit.md
.artifacts/meta-upgrades/UPG10/alignment.md → .cursor/ai-driven-workflow/25-protocol-integration-map-DOCUMENTATION.md | reference | References .cursor/ai-driven-workflow/25-protocol-integration-map-DOCUMENTATION.md
.artifacts/meta-upgrades/UPG10/alignment.md → ai-driven-workflow/12-quality-audit.md | reference | References ai-driven-workflow/12-quality-audit.md
.artifacts/meta-upgrades/UPG10/alignment.md → ai-driven-workflow/25-protocol-integration-map-DOCUMENTATION.md | reference | References ai-driven-workflow/25-protocol-integration-map-DOCUMENTATION.md
.artifacts/meta-upgrades/UPG10/alignment.md → protocol-integration-map-DOCUMENTATION.md | reference | Mentions protocol protocol-integration-map-DOCUMENTATION.md
.artifacts/meta-upgrades/final/final_report.md → meta-upgrades/UPGxx/ | reference | References meta-upgrades/UPGxx/
.artifacts/meta-upgrades/integration/rollback_plan.md → meta-upgrades/archive/ | reference | References meta-upgrades/archive/
.artifacts/meta-upgrades/pop/observer-findings.md → meta-upgrades/pop/ | reference | References meta-upgrades/pop/
.artifacts/meta-upgrades/pop/observer-findings.md → meta-upgrades/pop/cycle-1-results.json | reference | References meta-upgrades/pop/cycle-1-results.json
.artifacts/meta-upgrades/pop/observer-findings.md → meta-upgrades/pop/cycle-2-results.json | reference | References meta-upgrades/pop/cycle-2-results.json
.artifacts/meta-upgrades/pop/observer-findings.md → meta-upgrades/pop/cycle-3-results.json | reference | References meta-upgrades/pop/cycle-3-results.json
.artifacts/meta-upgrades/stage-S1/deployment-log.md → meta-upgrades/integration/integration_plan.json | reference | References meta-upgrades/integration/integration_plan.json
.artifacts/meta-upgrades/stage-S1/deployment-log.md → meta-upgrades/stage-S1/ | reference | References meta-upgrades/stage-S1/
.artifacts/meta-upgrades/stage-S1/deployment-log.md → meta-upgrades/stage-S1/acceptance-validation.json | reference | References meta-upgrades/stage-S1/acceptance-validation.json
.artifacts/meta-upgrades/stage-S1/deployment-log.md → meta-upgrades/stage-S1/deployment-log.md | reference | References meta-upgrades/stage-S1/deployment-log.md
.artifacts/meta-upgrades/stage-S1/deployment-log.md → meta-upgrades/stage-S1/performance-metrics.json | reference | References meta-upgrades/stage-S1/performance-metrics.json
.artifacts/meta-upgrades/stage-S1/deployment-log.md → meta-upgrades/stage-S1/rollback-report.md | reference | References meta-upgrades/stage-S1/rollback-report.md
.artifacts/meta-upgrades/stage-S1/deployment-log.md → meta-upgrades/stage-S1/rollback-test-results.md | reference | References meta-upgrades/stage-S1/rollback-test-results.md
.artifacts/meta-upgrades/stage-S1/deployment-log.md → validators-system/AGENTS.md | reference | References validators-system/AGENTS.md
.artifacts/meta-upgrades/stage-S1/rollback-test-results.md → meta-upgrades/stage-S1/rollback-report.md | reference | References meta-upgrades/stage-S1/rollback-report.md
.artifacts/protocol-02/PROTOCOL-02-COMPLETION-SUMMARY.md → .cursor/ai-driven-workflow/03-project-brief-creation.md | reference | References .cursor/ai-driven-workflow/03-project-brief-creation.md
.artifacts/protocol-02/PROTOCOL-02-COMPLETION-SUMMARY.md → ai-driven-workflow/03-project-brief-creation.md | reference | References ai-driven-workflow/03-project-brief-creation.md
.artifacts/protocol-03-readiness-report.md → .cursor/ai-driven-workflow/03-project-brief-creation.md | reference | References .cursor/ai-driven-workflow/03-project-brief-creation.md
.artifacts/protocol-03-readiness-report.md → ai-driven-workflow/03-project-brief-creation.md | reference | References ai-driven-workflow/03-project-brief-creation.md
.artifacts/protocol-03-readiness-report.md → protocol_03.py | reference | Mentions protocol protocol_03.py
.artifacts/protocol-03-readiness-report.md → scripts/execute_protocol_03.py | call | Executes scripts/execute_protocol_03.py
.artifacts/protocol-reformat/01-client-proposal-generation/FORMAT-ANALYSIS.md → rules/standards | reference | References rules/standards
.artifacts/protocol-reformat/01-client-proposal-generation/ORIGINAL-BACKUP.md → scripts/aggregate_evidence_01.py | call | Executes scripts/aggregate_evidence_01.py
.artifacts/protocol-reformat/01-client-proposal-generation/ORIGINAL-BACKUP.md → scripts/analyze_jobpost.py | call | Executes scripts/analyze_jobpost.py
.artifacts/protocol-reformat/01-client-proposal-generation/ORIGINAL-BACKUP.md → scripts/run_protocol_01_gates.py | call | Executes scripts/run_protocol_01_gates.py
.artifacts/protocol-reformat/01-client-proposal-generation/ORIGINAL-BACKUP.md → scripts/tone_mapper.py | call | Executes scripts/tone_mapper.py
.artifacts/protocol-reformat/01-client-proposal-generation/ORIGINAL-BACKUP.md → scripts/validate_evidence_manifest.py | call | Executes scripts/validate_evidence_manifest.py
.artifacts/protocol-reformat/01-client-proposal-generation/ORIGINAL-BACKUP.md → scripts/validate_proposal.py | call | Executes scripts/validate_proposal.py
.artifacts/protocol-reformat/01-client-proposal-generation/ORIGINAL-BACKUP.md → scripts/validate_proposal_structure.py | call | Executes scripts/validate_proposal_structure.py
.artifacts/protocol-reformat/01-client-proposal-generation/REFORMATTED.md → scripts/aggregate_evidence_01.py | call | Executes scripts/aggregate_evidence_01.py
.artifacts/protocol-reformat/01-client-proposal-generation/REFORMATTED.md → scripts/analyze_jobpost.py | call | Executes scripts/analyze_jobpost.py
.artifacts/protocol-reformat/01-client-proposal-generation/REFORMATTED.md → scripts/run_protocol_01_gates.py | call | Executes scripts/run_protocol_01_gates.py
.artifacts/protocol-reformat/01-client-proposal-generation/REFORMATTED.md → scripts/tone_mapper.py | call | Executes scripts/tone_mapper.py
.artifacts/protocol-reformat/01-client-proposal-generation/REFORMATTED.md → scripts/validate_evidence_manifest.py | call | Executes scripts/validate_evidence_manifest.py
.artifacts/protocol-reformat/01-client-proposal-generation/REFORMATTED.md → scripts/validate_proposal.py | call | Executes scripts/validate_proposal.py
.artifacts/protocol-reformat/01-client-proposal-generation/REFORMATTED.md → scripts/validate_proposal_structure.py | call | Executes scripts/validate_proposal_structure.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → .cursor/ai-driven-workflow/02- | reference | References .cursor/ai-driven-workflow/02-
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → .cursor/ai-driven-workflow/03-project-brief-creation.md | reference | References .cursor/ai-driven-workflow/03-project-brief-creation.md
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → .cursor/ai-driven-workflow/archive/02-client-discovery-initiation-v | reference | References .cursor/ai-driven-workflow/archive/02-client-discovery-initiation-v
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → ai-driven-workflow/02- | reference | References ai-driven-workflow/02-
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → ai-driven-workflow/03-project-brief-creation.md | reference | References ai-driven-workflow/03-project-brief-creation.md
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → ai-driven-workflow/archive/02-client-discovery-initiation-v | reference | References ai-driven-workflow/archive/02-client-discovery-initiation-v
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → protocol-evolution-log.md | reference | Mentions protocol protocol-evolution-log.md
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → protocol_gates.py | reference | Mentions protocol protocol_gates.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → protocol_handoffs.py | reference | Mentions protocol protocol_handoffs.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → scripts/aggregate_evidence_02.py | call | Executes scripts/aggregate_evidence_02.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → scripts/check_client_confirmation.py | call | Executes scripts/check_client_confirmation.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → scripts/run_protocol_gates.py | call | Executes scripts/run_protocol_gates.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → scripts/search_knowledge_base.py | call | Executes scripts/search_knowledge_base.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → scripts/validate_discovery_expectations.py | call | Executes scripts/validate_discovery_expectations.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → scripts/validate_discovery_objectives.py | call | Executes scripts/validate_discovery_objectives.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → scripts/validate_discovery_scope.py | call | Executes scripts/validate_discovery_scope.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → scripts/validate_prerequisites_02.py | call | Executes scripts/validate_prerequisites_02.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/02-client-discovery-initiation.md → scripts/validate_protocol_handoffs.py | call | Executes scripts/validate_protocol_handoffs.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → .cursor/ai-driven-workflow/02- | reference | References .cursor/ai-driven-workflow/02-
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → .cursor/ai-driven-workflow/03-project-brief-creation.md | reference | References .cursor/ai-driven-workflow/03-project-brief-creation.md
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → .cursor/ai-driven-workflow/archive/02-client-discovery-initiation-v | reference | References .cursor/ai-driven-workflow/archive/02-client-discovery-initiation-v
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → ai-driven-workflow/02- | reference | References ai-driven-workflow/02-
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → ai-driven-workflow/03-project-brief-creation.md | reference | References ai-driven-workflow/03-project-brief-creation.md
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → ai-driven-workflow/archive/02-client-discovery-initiation-v | reference | References ai-driven-workflow/archive/02-client-discovery-initiation-v
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → protocol-evolution-log.md | reference | Mentions protocol protocol-evolution-log.md
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → protocol_gates.py | reference | Mentions protocol protocol_gates.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → protocol_handoffs.py | reference | Mentions protocol protocol_handoffs.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → scripts/aggregate_evidence_02.py | call | Executes scripts/aggregate_evidence_02.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → scripts/check_client_confirmation.py | call | Executes scripts/check_client_confirmation.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → scripts/run_protocol_gates.py | call | Executes scripts/run_protocol_gates.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → scripts/search_knowledge_base.py | call | Executes scripts/search_knowledge_base.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → scripts/validate_discovery_expectations.py | call | Executes scripts/validate_discovery_expectations.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → scripts/validate_discovery_objectives.py | call | Executes scripts/validate_discovery_objectives.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → scripts/validate_discovery_scope.py | call | Executes scripts/validate_discovery_scope.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → scripts/validate_prerequisites_02.py | call | Executes scripts/validate_prerequisites_02.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/ORIGINAL-BACKUP.md → scripts/validate_protocol_handoffs.py | call | Executes scripts/validate_protocol_handoffs.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART2.md → .cursor/ai-driven-workflow/archive/02-client-discovery-initiation-v | reference | References .cursor/ai-driven-workflow/archive/02-client-discovery-initiation-v
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART2.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART2.md → ai-driven-workflow/archive/02-client-discovery-initiation-v | reference | References ai-driven-workflow/archive/02-client-discovery-initiation-v
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART2.md → protocol-evolution-log.md | reference | Mentions protocol protocol-evolution-log.md
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART2.md → scripts/check_client_confirmation.py | call | Executes scripts/check_client_confirmation.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART2.md → scripts/search_knowledge_base.py | call | Executes scripts/search_knowledge_base.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART2.md → scripts/validate_discovery_expectations.py | call | Executes scripts/validate_discovery_expectations.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART2.md → scripts/validate_discovery_objectives.py | call | Executes scripts/validate_discovery_objectives.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART2.md → scripts/validate_discovery_scope.py | call | Executes scripts/validate_discovery_scope.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART3.md → .cursor/ai-driven-workflow/02- | reference | References .cursor/ai-driven-workflow/02-
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART3.md → .cursor/ai-driven-workflow/03-project-brief-creation.md | reference | References .cursor/ai-driven-workflow/03-project-brief-creation.md
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART3.md → ai-driven-workflow/02- | reference | References ai-driven-workflow/02-
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART3.md → ai-driven-workflow/03-project-brief-creation.md | reference | References ai-driven-workflow/03-project-brief-creation.md
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART3.md → protocol_gates.py | reference | Mentions protocol protocol_gates.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART3.md → protocol_handoffs.py | reference | Mentions protocol protocol_handoffs.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART3.md → scripts/aggregate_evidence_02.py | call | Executes scripts/aggregate_evidence_02.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART3.md → scripts/run_protocol_gates.py | call | Executes scripts/run_protocol_gates.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART3.md → scripts/validate_discovery_expectations.py | call | Executes scripts/validate_discovery_expectations.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART3.md → scripts/validate_prerequisites_02.py | call | Executes scripts/validate_prerequisites_02.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED-PART3.md → scripts/validate_protocol_handoffs.py | call | Executes scripts/validate_protocol_handoffs.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → .cursor/ai-driven-workflow/02- | reference | References .cursor/ai-driven-workflow/02-
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → .cursor/ai-driven-workflow/03-project-brief-creation.md | reference | References .cursor/ai-driven-workflow/03-project-brief-creation.md
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → .cursor/ai-driven-workflow/archive/02-client-discovery-initiation-v | reference | References .cursor/ai-driven-workflow/archive/02-client-discovery-initiation-v
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → ai-driven-workflow/02- | reference | References ai-driven-workflow/02-
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → ai-driven-workflow/03-project-brief-creation.md | reference | References ai-driven-workflow/03-project-brief-creation.md
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → ai-driven-workflow/archive/02-client-discovery-initiation-v | reference | References ai-driven-workflow/archive/02-client-discovery-initiation-v
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → protocol-evolution-log.md | reference | Mentions protocol protocol-evolution-log.md
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → protocol_gates.py | reference | Mentions protocol protocol_gates.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → protocol_handoffs.py | reference | Mentions protocol protocol_handoffs.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → scripts/aggregate_evidence_02.py | call | Executes scripts/aggregate_evidence_02.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → scripts/check_client_confirmation.py | call | Executes scripts/check_client_confirmation.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → scripts/run_protocol_gates.py | call | Executes scripts/run_protocol_gates.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → scripts/search_knowledge_base.py | call | Executes scripts/search_knowledge_base.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → scripts/validate_discovery_expectations.py | call | Executes scripts/validate_discovery_expectations.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → scripts/validate_discovery_objectives.py | call | Executes scripts/validate_discovery_objectives.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → scripts/validate_discovery_scope.py | call | Executes scripts/validate_discovery_scope.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → scripts/validate_prerequisites_02.py | call | Executes scripts/validate_prerequisites_02.py
.artifacts/protocol-reformat/02-client-discovery-initiatio/REFORMATTED.md → scripts/validate_protocol_handoffs.py | call | Executes scripts/validate_protocol_handoffs.py
.artifacts/protocol-reformat/03-project-brief-creation/03-project-brief-creation.md → .cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md | reference | References .cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md
.artifacts/protocol-reformat/03-project-brief-creation/03-project-brief-creation.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/03-project-brief-creation/03-project-brief-creation.md → ai-driven-workflow/04-project-bootstrap-and-context-engineering.md | reference | References ai-driven-workflow/04-project-bootstrap-and-context-engineering.md
.artifacts/protocol-reformat/03-project-brief-creation/03-project-brief-creation.md → scripts/aggregate_evidence_03.py | call | Executes scripts/aggregate_evidence_03.py
